id,rank,frequency,active_count,ablation_mse_increase,additive_benefit_share,output_energy
29,512,0.7530532193693154,43964,0.22147699252006559,0.30494514897639013,0.22107877311994698
23,512,0.045185933779825625,2638,0.02091682016664724,0.0302526900194608,0.02039523075933792
207,256,0.03247631935047361,1896,0.012811950247838986,0.01830407425373833,0.012262119817430743
67,512,0.03982460046933078,2325,0.010244176407659844,0.016847339411535114,0.010429907630414929
19,512,0.03492574639009267,2039,0.006017694469427793,0.010980184151899691,0.006275282972663209
668,64,0.03802607012555455,2220,0.0059537197116742175,0.008217349065618756,0.006030374081251063
15,512,0.0084273993251229,492,0.004797985509863162,0.006987130967505507,0.00480678990779107
7,512,0.010619893458488208,620,0.0039208618128773924,0.006268104394840279,0.0037757422432306747
2221,32,0.012555454685599767,733,0.00366963645961553,0.006245075910614437,0.003648913970690866
414,128,0.01574142272314623,919,0.004518416657309026,0.006242046705276792,0.0044835161838932365
26,512,0.012726743289768932,743,0.0042309069263807165,0.00618839099762666,0.004194289762272468
51,512,0.013480413148113256,787,0.003763110838179992,0.006139956427172651,0.003445717047741266
1986,32,0.028057073362909166,1638,0.004038688244520765,0.0056750431314744896,0.0040324278314043255
2298,32,0.02053750363988284,1199,0.003703761328200565,0.00515791954916054,0.0037618986828979245
24,512,0.009900481320977716,578,0.002510824082683609,0.004295075529700802,0.0024566587655717965
1346,32,0.013223480241859509,772,0.002958261839602228,0.004263327693747014,0.0028926505571368853
1070,64,0.008513043627207482,497,0.002706911966428744,0.003937333866069663,0.002689481237719943
373,128,0.0066117401209297546,386,0.001965855451401911,0.003891689625600564,0.0019997566345733198
1705,32,0.002997550572960381,175,0.002311250743531018,0.003858098602911261,0.0022708747993014852
1313,32,0.006132132029256093,358,0.0019147482339146448,0.003728772613652931,0.0019025724962198265
461,128,0.008119079837618403,474,0.0023029539049093124,0.0036969799885874254,0.00230588592535684
97,256,0.00479608091673661,280,0.002349466542048189,0.003586417702184871,0.002262964703709148
156,256,0.007382538839690996,431,0.0022816463869229486,0.0034404923004090807,0.002165609607450523
76,512,0.0029804217125434644,174,0.0019168421615945216,0.003363064205895035,0.001968816620409892
423,128,0.01046573371473596,611,0.0027872958190790077,0.0033167150745129687,0.0027868461550487828
13,512,0.004813209777153526,281,0.0022642656046636764,0.003236720134321095,0.0020745543126377444
41,512,0.008410270464705983,491,0.00190746973928116,0.003177146770598189,0.0017782022560944106
368,128,0.0033572566417156267,196,0.0020676557235026045,0.0030036656775833817,0.002012358725007654
228,256,0.0032030968979633785,187,0.002271058387026137,0.0029997118938396225,0.0023230061446776465
304,128,0.0025350713417036366,148,0.0018630016684905836,0.002999263942621005,0.0018395110176849482
1891,32,0.0166492523252428,972,0.0020966467184729658,0.0029660630633079194,0.002053736576540914
232,256,0.015313201212723318,894,0.001791517663591312,0.0029375624964307237,0.0015774937479398113
4,512,0.005789554820917764,338,0.0018035266723872595,0.0025884905098723533,0.0018627096314083192
